Hitter,Date,Distance,Ballpark,Opponent
Bryson Stott,2025-03-29,349.0,Nationals Park,Washington Nationals
Kyle Schwarber,2025-03-29,385.0,Nationals Park,Washington Nationals
Brandon Marsh,2025-03-29,395.0,Nationals Park,Washington Nationals
Kyle Schwarber,2025-03-31,434.0,Citizens Bank Park,Colorado Rockies
Max Kepler,2025-03-31,382.0,Citizens Bank Park,Colorado Rockies
Nick Castellanos,2025-03-31,414.0,Citizens Bank Park,Colorado Rockies
Kyle Schwarber,2025-04-03,444.0,Citizens Bank Park,Colorado Rockies
Nick Castellanos,2025-04-06,389.0,Citizens Bank Park,Los Angeles Dodgers
Kyle Schwarber,2025-04-08,462.0,Truist Park,Atlanta Braves
Bryce Harper,2025-04-09,400.0,Truist Park,Atlanta Braves
Trea Turner,2025-04-09,402.0,Truist Park,Atlanta Braves
Kyle Schwarber,2025-04-10,429.0,Truist Park,Atlanta Braves
Nick Castellanos,2025-04-14,400.0,Citizens Bank Park,San Francisco Giants
J.T. Realmuto,2025-04-15,387.0,Citizens Bank Park,San Francisco Giants
Bryce Harper,2025-04-15,354.0,Citizens Bank Park,San Francisco Giants
Bryce Harper,2025-04-16,364.0,Citizens Bank Park,San Francisco Giants
Bryce Harper,2025-04-18,418.0,Citizens Bank Park,Miami Marlins
Kyle Schwarber,2025-04-18,426.0,Citizens Bank Park,Miami Marlins
Bryson Stott,2025-04-21,399.0,Citi Field,New York Mets
Max Kepler,2025-04-26,369.0,Wrigley Field,Chicago Cubs
Kyle Schwarber,2025-04-29,389.0,Citizens Bank Park,Washington Nationals
Johan Rojas,2025-04-29,421.0,Citizens Bank Park,Washington Nationals
Kyle Schwarber,2025-04-30,394.0,Citizens Bank Park,Washington Nationals
Max Kepler,2025-04-30,359.0,Citizens Bank Park,Washington Nationals
J.T. Realmuto,2025-04-30,397.0,Citizens Bank Park,Washington Nationals
Kyle Schwarber,2025-05-02,389.0,Citizens Bank Park,Arizona Diamondbacks
Max Kepler,2025-05-02,422.0,Citizens Bank Park,Arizona Diamondbacks
Max Kepler,2025-05-03,392.0,Citizens Bank Park,Arizona Diamondbacks
J.T. Realmuto,2025-05-03,397.0,Citizens Bank Park,Arizona Diamondbacks
Bryce Harper,2025-05-04,362.0,Citizens Bank Park,Arizona Diamondbacks
Weston Wilson,2025-05-04,395.0,Citizens Bank Park,Arizona Diamondbacks
Kyle Schwarber,2025-05-04,408.0,Citizens Bank Park,Arizona Diamondbacks
Kyle Schwarber,2025-05-06,370.0,George M. Steinbrenner Field,Tampa Bay Rays
Alec Bohm,2025-05-06,342.0,George M. Steinbrenner Field,Tampa Bay Rays
Nick Castellanos,2025-05-06,374.0,George M. Steinbrenner Field,Tampa Bay Rays
Trea Turner,2025-05-07,403.0,George M. Steinbrenner Field,Tampa Bay Rays
Bryson Stott,2025-05-08,409.0,George M. Steinbrenner Field,Tampa Bay Rays
Bryce Harper,2025-05-10,421.0,Progressive Field,Cleveland Guardians
Kyle Schwarber,2025-05-11,392.0,Progressive Field,Cleveland Guardians
Kyle Schwarber,2025-05-11,397.0,Progressive Field,Cleveland Guardians
J.T. Realmuto,2025-05-14,417.0,Citizens Bank Park,St. Louis Cardinals
Kyle Schwarber,2025-05-14,420.0,Citizens Bank Park,St. Louis Cardinals
Alec Bohm,2025-05-14,362.0,Citizens Bank Park,St. Louis Cardinals
Bryson Stott,2025-05-17,411.0,Citizens Bank Park,Pittsburgh Pirates
Alec Bohm,2025-05-20,422.0,Coors Field,Colorado Rockies
Kyle Schwarber,2025-05-20,466.0,Coors Field,Colorado Rockies
Edmundo Sosa,2025-05-20,367.0,Coors Field,Colorado Rockies
Kyle Schwarber,2025-05-21,430.0,Coors Field,Colorado Rockies
