Hitter,Date,Distance,Ballpark,Opponent
Kyle Schwarber,2025-05-20,466,Coors Field,Colorado Rockies
Kyle Schwarber,2025-04-08,462,Truist Park,Atlanta Braves
Kyle Schwarber,2025-04-03,444,Citizens Bank Park,Colorado Rockies
Kyle Schwarber,2025-03-31,434,Citizens Bank Park,Colorado Rockies
Kyle Schwarber,2025-05-21,430,Coors Field,Colorado Rockies
Kyle Schwarber,2025-04-10,429,Truist Park,Atlanta Braves
Kyle Schwarber,2025-04-18,426,Citizens Bank Park,Miami Marlins
Max Kepler,2025-05-02,422,Citizens Bank Park,Arizona Diamondbacks
Alec Bohm,2025-05-20,422,Coors Field,Colorado Rockies
Johan Rojas,2025-04-29,421,Citizens Bank Park,Washington Nationals
